employee_id,role,total_required,gaps_count,weighted_gap_score,coverage_pct,gap_pct
1,Auditor,10,7,21.51,0.3,0.7
2,Sales Executive,10,5,18.49,0.5,0.5
3,Helpdesk,10,7,26.49,0.3,0.7
4,Hr Executive,10,7,24.13,0.3,0.7
5,Account Manager,10,6,20.37,0.4,0.6
6,Helpdesk,10,5,16.13,0.5,0.5
7,Engineer,10,7,25.49,0.3,0.7
8,Hr Executive,10,7,26.12,0.3,0.7
9,Hr Executive,10,6,23.37,0.4,0.6
10,Accountant,10,6,20.25,0.4,0.6
11,Hr Executive,10,6,19.13,0.4,0.6
12,Helpdesk,10,6,23.24,0.4,0.6
13,Accountant,10,7,26.24,0.3,0.7
14,Hr Manager,10,7,24.75,0.3,0.7
15,Developer,10,5,15.25,0.5,0.5
16,Seo Analyst,10,6,19.87,0.4,0.6
17,Support Engineer,10,6,21.25,0.4,0.6
18,Tester,10,7,25.0,0.3,0.7
19,Helpdesk,10,5,19.12,0.5,0.5
20,Support Engineer,10,5,18.25,0.5,0.5
21,Support Engineer,10,7,23.01,0.3,0.7
22,Sales Executive,10,5,18.24,0.5,0.5
23,Tester,10,5,18.49,0.5,0.5
24,Tester,10,5,19.12,0.5,0.5
25,Content Lead,10,6,21.12,0.4,0.6
26,Seo Analyst,10,5,15.0,0.5,0.5
27,Sales Executive,10,6,20.12,0.4,0.6
28,Content Lead,10,7,25.49,0.3,0.7
29,Accountant,10,6,21.25,0.4,0.6
30,Support Engineer,10,6,22.24,0.4,0.6
31,Developer,10,7,22.5,0.3,0.7
32,Content Lead,10,7,26.12,0.3,0.7
33,Tester,10,6,20.88,0.4,0.6
34,Engineer,10,6,20.24,0.4,0.6
35,Seo Analyst,10,6,21.63,0.4,0.6
36,Auditor,10,7,21.76,0.3,0.7
37,Content Lead,10,5,19.61,0.5,0.5
38,Accountant,10,6,22.37,0.4,0.6
39,Auditor,10,7,21.64,0.3,0.7
40,Auditor,10,6,20.51,0.4,0.6
41,Account Manager,10,6,22.0,0.4,0.6
42,Content Lead,10,6,21.12,0.4,0.6
43,Content Lead,10,7,26.37,0.3,0.7
44,Engineer,10,6,23.24,0.4,0.6
45,Accountant,10,7,24.13,0.3,0.7
46,Developer,10,5,14.49,0.5,0.5
47,Account Manager,10,6,19.01,0.4,0.6
48,Sales Executive,10,6,21.25,0.4,0.6
49,Helpdesk,10,7,25.25,0.3,0.7
50,Tester,10,6,21.0,0.4,0.6
51,Sales Executive,10,7,25.49,0.3,0.7
52,Support Engineer,10,5,17.37,0.5,0.5
53,Seo Analyst,10,6,20.0,0.4,0.6
54,Auditor,10,5,16.26,0.5,0.5
55,Accountant,10,7,26.12,0.3,0.7
56,Developer,10,5,15.37,0.5,0.5
57,Developer,10,7,21.37,0.3,0.7
58,Helpdesk,10,6,21.24,0.4,0.6
59,Seo Analyst,10,7,25.63,0.3,0.7
60,Hr Executive,10,7,25.37,0.3,0.7
61,Hr Manager,10,6,24.5,0.4,0.6
62,Tester,10,5,19.12,0.5,0.5
63,Hr Manager,10,6,21.5,0.4,0.6
64,Helpdesk,10,6,20.37,0.4,0.6
65,Account Manager,10,6,19.88,0.4,0.6
66,Content Lead,10,7,23.88,0.3,0.7
67,Sales Executive,10,7,23.13,0.3,0.7
68,Sales Executive,10,5,16.88,0.5,0.5
69,Account Manager,10,5,18.37,0.5,0.5
70,Accountant,10,5,18.25,0.5,0.5
71,Hr Executive,10,7,23.37,0.3,0.7
72,Content Lead,10,7,26.49,0.3,0.7
73,Developer,10,7,22.5,0.3,0.7
74,Sales Executive,10,5,19.61,0.5,0.5
75,Developer,10,6,18.11,0.4,0.6
76,Hr Manager,10,6,21.0,0.4,0.6
77,Sales Executive,10,5,18.24,0.5,0.5
78,Sales Executive,10,5,18.0,0.5,0.5
79,Content Lead,10,7,27.24,0.3,0.7
80,Hr Manager,10,7,26.0,0.3,0.7
81,Helpdesk,10,6,20.88,0.4,0.6
82,Engineer,10,7,23.13,0.3,0.7
83,Developer,10,6,19.5,0.4,0.6
84,Auditor,10,5,14.13,0.5,0.5
85,Sales Executive,10,7,25.37,0.3,0.7
86,Sales Executive,10,5,16.37,0.5,0.5
87,Support Engineer,10,7,25.12,0.3,0.7
88,Content Lead,10,6,23.24,0.4,0.6
89,Seo Analyst,10,7,24.75,0.3,0.7
90,Auditor,10,7,21.51,0.3,0.7
91,Tester,10,7,25.37,0.3,0.7
92,Accountant,10,6,19.13,0.4,0.6
93,Account Manager,10,5,19.49,0.5,0.5
94,Helpdesk,10,6,21.0,0.4,0.6
95,Support Engineer,10,5,18.36,0.5,0.5
96,Content Lead,10,6,21.0,0.4,0.6
97,Hr Manager,10,7,26.0,0.3,0.7
98,Content Lead,10,6,20.37,0.4,0.6
99,Hr Executive,10,6,23.24,0.4,0.6
100,Account Manager,10,7,25.25,0.3,0.7
101,Hr Manager,10,6,21.88,0.4,0.6
102,Hr Executive,10,7,26.49,0.3,0.7
103,Account Manager,10,5,17.88,0.5,0.5
104,Support Engineer,10,5,18.24,0.5,0.5
105,Seo Analyst,10,5,19.63,0.5,0.5
106,Accountant,10,5,17.49,0.5,0.5
107,Developer,10,7,20.61,0.3,0.7
108,Hr Executive,10,7,24.13,0.3,0.7
109,Support Engineer,10,7,23.37,0.3,0.7
110,Developer,10,5,14.62,0.5,0.5
111,Helpdesk,10,5,18.0,0.5,0.5
112,Engineer,10,6,19.88,0.4,0.6
113,Developer,10,7,21.24,0.3,0.7
114,Helpdesk,10,7,26.12,0.3,0.7
115,Account Manager,10,5,19.12,0.5,0.5
116,Helpdesk,10,5,16.37,0.5,0.5
117,Seo Analyst,10,7,25.0,0.3,0.7
118,Hr Executive,10,5,19.37,0.5,0.5
119,Auditor,10,5,16.76,0.5,0.5
120,Sales Executive,10,6,23.12,0.4,0.6
121,Developer,10,7,21.87,0.3,0.7
122,Support Engineer,10,6,21.25,0.4,0.6
123,Auditor,10,7,21.51,0.3,0.7
124,Engineer,10,5,18.36,0.5,0.5
125,Accountant,10,5,19.0,0.5,0.5
126,Developer,10,6,18.24,0.4,0.6
127,Sales Executive,10,7,24.49,0.3,0.7
128,Hr Executive,10,5,18.0,0.5,0.5
129,Support Engineer,10,6,20.37,0.4,0.6
130,Tester,10,6,19.25,0.4,0.6
131,Helpdesk,10,7,24.25,0.3,0.7
132,Hr Executive,10,6,21.49,0.4,0.6
133,Auditor,10,6,17.5,0.4,0.6
134,Hr Manager,10,6,23.5,0.4,0.6
135,Content Lead,10,5,18.25,0.5,0.5
136,Seo Analyst,10,6,20.0,0.4,0.6
137,Auditor,10,7,21.51,0.3,0.7
138,Engineer,10,7,23.88,0.3,0.7
139,Developer,10,7,21.25,0.3,0.7
140,Account Manager,10,5,16.25,0.5,0.5
141,Tester,10,6,21.37,0.4,0.6
142,Account Manager,10,6,21.37,0.4,0.6
143,Helpdesk,10,5,17.12,0.5,0.5
144,Account Manager,10,6,22.25,0.4,0.6
145,Support Engineer,10,5,16.0,0.5,0.5
146,Hr Manager,10,7,26.38,0.3,0.7
147,Account Manager,10,6,21.13,0.4,0.6
148,Account Manager,10,6,22.49,0.4,0.6
149,Support Engineer,10,7,25.25,0.3,0.7
150,Content Lead,10,5,18.0,0.5,0.5
151,Hr Executive,10,5,19.0,0.5,0.5
152,Account Manager,10,5,18.49,0.5,0.5
153,Tester,10,5,18.12,0.5,0.5
154,Seo Analyst,10,7,23.0,0.3,0.7
155,Hr Executive,10,6,19.13,0.4,0.6
156,Developer,10,6,20.13,0.4,0.6
157,Hr Executive,10,6,22.24,0.4,0.6
158,Content Lead,10,5,17.12,0.5,0.5
159,Support Engineer,10,6,19.88,0.4,0.6
160,Sales Executive,10,7,26.37,0.3,0.7
161,Helpdesk,10,6,23.24,0.4,0.6
162,Accountant,10,7,24.12,0.3,0.7
163,Hr Executive,10,6,21.25,0.4,0.6
164,Hr Manager,10,7,24.5,0.3,0.7
165,Tester,10,7,24.13,0.3,0.7
166,Tester,10,7,23.25,0.3,0.7
167,Hr Manager,10,7,26.5,0.3,0.7
168,Hr Executive,10,5,17.13,0.5,0.5
169,Support Engineer,10,7,26.49,0.3,0.7
170,Account Manager,10,5,17.49,0.5,0.5
171,Seo Analyst,10,5,15.75,0.5,0.5
172,Hr Manager,10,6,21.62,0.4,0.6
173,Support Engineer,10,7,25.12,0.3,0.7
174,Content Lead,10,5,17.49,0.5,0.5
175,Seo Analyst,10,6,22.0,0.4,0.6
176,Helpdesk,10,7,25.0,0.3,0.7
177,Helpdesk,10,5,16.88,0.5,0.5
178,Account Manager,10,5,18.0,0.5,0.5
179,Seo Analyst,10,5,17.12,0.5,0.5
180,Helpdesk,10,7,24.37,0.3,0.7
181,Helpdesk,10,6,23.61,0.4,0.6
182,Support Engineer,10,6,23.24,0.4,0.6
183,Account Manager,10,7,24.37,0.3,0.7
184,Auditor,10,7,21.63,0.3,0.7
185,Sales Executive,10,5,18.25,0.5,0.5
186,Developer,10,6,17.74,0.4,0.6
187,Support Engineer,10,6,21.37,0.4,0.6
188,Support Engineer,10,5,17.0,0.5,0.5
189,Accountant,10,6,23.12,0.4,0.6
190,Auditor,10,7,21.51,0.3,0.7
191,Hr Executive,10,5,18.12,0.5,0.5
192,Engineer,10,6,22.25,0.4,0.6
193,Support Engineer,10,6,21.25,0.4,0.6
194,Auditor,10,5,17.63,0.5,0.5
195,Helpdesk,10,6,20.12,0.4,0.6
196,Hr Manager,10,6,22.25,0.4,0.6
197,Hr Executive,10,6,22.61,0.4,0.6
198,Accountant,10,7,24.25,0.3,0.7
199,Tester,10,6,19.25,0.4,0.6
200,Engineer,10,7,26.36,0.3,0.7
201,Accountant,10,7,24.37,0.3,0.7
202,Accountant,10,5,17.88,0.5,0.5
203,Seo Analyst,10,7,23.88,0.3,0.7
204,Hr Executive,10,6,23.24,0.4,0.6
205,Content Lead,10,6,21.0,0.4,0.6
206,Sales Executive,10,7,26.12,0.3,0.7
207,Helpdesk,10,6,22.36,0.4,0.6
208,Support Engineer,10,7,24.12,0.3,0.7
209,Account Manager,10,6,21.49,0.4,0.6
210,Sales Executive,10,6,22.49,0.4,0.6
211,Auditor,10,6,18.26,0.4,0.6
212,Account Manager,10,6,19.25,0.4,0.6
213,Sales Executive,10,7,24.12,0.3,0.7
214,Account Manager,10,6,20.13,0.4,0.6
215,Hr Manager,10,7,26.25,0.3,0.7
216,Seo Analyst,10,5,18.0,0.5,0.5
217,Engineer,10,5,20.12,0.5,0.5
218,Developer,10,7,22.63,0.3,0.7
219,Auditor,10,5,16.88,0.5,0.5
220,Support Engineer,10,5,19.12,0.5,0.5
221,Sales Executive,10,7,24.13,0.3,0.7
222,Content Lead,10,5,16.0,0.5,0.5
223,Hr Executive,10,7,23.88,0.3,0.7
224,Account Manager,10,7,25.0,0.3,0.7
225,Sales Executive,10,5,19.12,0.5,0.5
226,Auditor,10,6,20.26,0.4,0.6
227,Helpdesk,10,6,21.13,0.4,0.6
228,Support Engineer,10,5,15.88,0.5,0.5
229,Hr Manager,10,6,20.62,0.4,0.6
230,Auditor,10,5,14.5,0.5,0.5
231,Accountant,10,5,18.25,0.5,0.5
232,Hr Manager,10,7,25.25,0.3,0.7
233,Developer,10,5,15.12,0.5,0.5
234,Accountant,10,6,19.25,0.4,0.6
235,Hr Executive,10,6,20.24,0.4,0.6
236,Accountant,10,5,18.0,0.5,0.5
237,Account Manager,10,6,22.24,0.4,0.6
238,Support Engineer,10,5,16.25,0.5,0.5
239,Auditor,10,7,24.14,0.3,0.7
240,Developer,10,5,16.0,0.5,0.5
241,Helpdesk,10,5,17.13,0.5,0.5
242,Content Lead,10,6,19.13,0.4,0.6
243,Support Engineer,10,5,17.12,0.5,0.5
244,Helpdesk,10,5,17.37,0.5,0.5
245,Sales Executive,10,7,24.25,0.3,0.7
246,Accountant,10,5,16.25,0.5,0.5
247,Engineer,10,6,20.25,0.4,0.6
248,Engineer,10,5,17.12,0.5,0.5
249,Hr Executive,10,7,23.13,0.3,0.7
250,Developer,10,6,20.51,0.4,0.6
251,Accountant,10,6,19.88,0.4,0.6
252,Helpdesk,10,5,18.37,0.5,0.5
253,Seo Analyst,10,6,21.63,0.4,0.6
254,Engineer,10,6,21.13,0.4,0.6
255,Sales Executive,10,7,24.49,0.3,0.7
256,Hr Manager,10,6,21.75,0.4,0.6
257,Accountant,10,7,25.0,0.3,0.7
258,Hr Executive,10,6,22.37,0.4,0.6
259,Auditor,10,7,22.01,0.3,0.7
260,Hr Manager,10,7,24.87,0.3,0.7
261,Seo Analyst,10,6,21.63,0.4,0.6
262,Tester,10,7,23.13,0.3,0.7
263,Engineer,10,5,18.37,0.5,0.5
264,Auditor,10,6,17.63,0.4,0.6
265,Hr Executive,10,5,18.25,0.5,0.5
266,Content Lead,10,5,17.25,0.5,0.5
267,Support Engineer,10,7,25.25,0.3,0.7
268,Content Lead,10,5,17.24,0.5,0.5
269,Hr Executive,10,7,25.0,0.3,0.7
270,Hr Executive,10,5,17.25,0.5,0.5
271,Accountant,10,6,22.37,0.4,0.6
272,Content Lead,10,5,19.25,0.5,0.5
273,Account Manager,10,7,24.0,0.3,0.7
274,Tester,10,7,24.37,0.3,0.7
275,Hr Manager,10,5,20.63,0.5,0.5
276,Engineer,10,6,23.12,0.4,0.6
277,Account Manager,10,5,19.36,0.5,0.5
278,Sales Executive,10,5,17.0,0.5,0.5
279,Account Manager,10,6,22.49,0.4,0.6
280,Auditor,10,7,21.51,0.3,0.7
281,Account Manager,10,7,24.13,0.3,0.7
282,Accountant,10,5,17.25,0.5,0.5
283,Hr Manager,10,5,19.25,0.5,0.5
284,Helpdesk,10,7,25.25,0.3,0.7
285,Helpdesk,10,6,22.25,0.4,0.6
286,Sales Executive,10,6,21.37,0.4,0.6
287,Developer,10,6,18.87,0.4,0.6
288,Seo Analyst,10,5,16.0,0.5,0.5
289,Content Lead,10,5,19.24,0.5,0.5
290,Sales Executive,10,6,21.37,0.4,0.6
291,Developer,10,6,18.75,0.4,0.6
292,Sales Executive,10,5,19.37,0.5,0.5
293,Hr Manager,10,6,21.5,0.4,0.6
294,Hr Manager,10,7,25.12,0.3,0.7
295,Helpdesk,10,5,16.01,0.5,0.5
296,Support Engineer,10,7,24.37,0.3,0.7
297,Helpdesk,10,6,20.37,0.4,0.6
298,Account Manager,10,7,25.49,0.3,0.7
