employee_id,current_skill
1,Learning Strategies
1,Reading Comprehension
1,Writing
2,Monitoring
2,Learning Strategies
2,Speaking
2,Science
2,Active Listening
3,Speaking
3,Science
3,Mathematics
4,Learning Strategies
4,Critical Thinking
4,Active Listening
5,Mathematics
5,Speaking
5,Monitoring
5,Critical Thinking
6,Learning Strategies
6,Active Listening
6,Reading Comprehension
6,Monitoring
6,Critical Thinking
7,Science
7,Critical Thinking
7,Monitoring
8,Critical Thinking
8,Science
8,Active Learning
9,Mathematics
9,Reading Comprehension
9,Science
9,Learning Strategies
10,Critical Thinking
10,Active Listening
10,Monitoring
10,Learning Strategies
11,Speaking
11,Active Listening
11,Writing
11,Reading Comprehension
12,Speaking
12,Mathematics
12,Science
12,Active Learning
13,Science
13,Active Learning
13,Writing
14,Speaking
14,Active Learning
14,Reading Comprehension
15,Monitoring
15,Speaking
15,Writing
15,Learning Strategies
15,Critical Thinking
16,Active Listening
16,Reading Comprehension
16,Critical Thinking
16,Learning Strategies
17,Reading Comprehension
17,Mathematics
17,Writing
17,Learning Strategies
18,Active Listening
18,Mathematics
18,Active Learning
19,Speaking
19,Learning Strategies
19,Active Learning
19,Active Listening
19,Science
20,Science
20,Reading Comprehension
20,Learning Strategies
20,Critical Thinking
20,Writing
21,Critical Thinking
21,Reading Comprehension
21,Active Listening
22,Science
22,Active Learning
22,Monitoring
22,Reading Comprehension
22,Speaking
23,Reading Comprehension
23,Learning Strategies
23,Monitoring
23,Writing
23,Science
24,Writing
24,Science
24,Active Learning
24,Learning Strategies
24,Critical Thinking
25,Monitoring
25,Active Learning
25,Reading Comprehension
25,Mathematics
26,Active Learning
26,Writing
26,Critical Thinking
26,Reading Comprehension
26,Active Listening
27,Reading Comprehension
27,Writing
27,Active Learning
27,Monitoring
28,Science
28,Speaking
28,Writing
29,Mathematics
29,Reading Comprehension
29,Learning Strategies
29,Speaking
30,Reading Comprehension
30,Monitoring
30,Active Learning
30,Science
31,Learning Strategies
31,Critical Thinking
31,Science
32,Active Learning
32,Science
32,Reading Comprehension
33,Active Learning
33,Reading Comprehension
33,Active Listening
33,Mathematics
34,Writing
34,Monitoring
34,Active Learning
34,Speaking
35,Science
35,Mathematics
35,Writing
35,Active Listening
36,Monitoring
36,Reading Comprehension
36,Learning Strategies
37,Learning Strategies
37,Speaking
37,Monitoring
37,Mathematics
37,Science
38,Critical Thinking
38,Learning Strategies
38,Speaking
38,Science
39,Critical Thinking
39,Monitoring
39,Active Learning
40,Speaking
40,Monitoring
40,Active Learning
40,Science
41,Active Learning
41,Science
41,Critical Thinking
41,Reading Comprehension
42,Monitoring
42,Reading Comprehension
42,Active Learning
42,Learning Strategies
43,Science
43,Active Listening
43,Mathematics
44,Speaking
