EmployeeID,Age,MonthlySalary,OvertimeHoursPerMonth,LeavesTaken,ProjectsHandled,TrainingHours,CustomerSatisfaction,LastPromotionYear,YearsAtCompany,WorkLifeBalanceScore,PerformanceRating,AttritionRisk_Label,tenure_adjusted_salary,years_since_last_promotion,overtime_to_projects_ratio,days_since_last_leave,engagement_score,Gender_Female,Gender_Male,Gender_Other,Department_Finance,Department_Hr,Department_It,Department_Marketing,Department_Sales,Department_Support,JobRole_Account Manager,JobRole_Accountant,JobRole_Auditor,JobRole_Content Lead,JobRole_Developer,JobRole_Engineer,JobRole_Helpdesk,JobRole_Hr Executive,JobRole_Hr Manager,JobRole_Sales Executive,JobRole_Seo Analyst,JobRole_Support Engineer,JobRole_Tester,EducationLevel_1,EducationLevel_2,EducationLevel_3,EducationLevel_4,EducationLevel_5
1,57,93531,33,9,13,16,5.0,2020,9,1.9,4,0,9353.1,4,2.357142857142857,181,0.03783709736738225,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,26,53706,24,1,15,44,8.0,2014,11,5.03,1,1,4475.5,10,1.5,361,-0.08117900117447545,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
3,59,105756,20,7,7,62,7.0,2012,15,4.83,4,0,6609.75,12,2.5,34,0.767221984593271,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
4,43,176377,22,6,15,8,5.0,2016,10,4.6,4,0,16034.272727272728,8,1.375,169,0.3523007370285081,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
5,52,154782,18,16,10,57,8.0,2022,6,3.73,4,0,22111.714285714286,2,1.6363636363636365,14,0.8331739705281457,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6,33,58647,34,5,6,5,6.0,2020,7,2.37,3,0,7330.875,4,4.857142857142857,91,-0.06860993056843905,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
7,55,70273,1,20,8,66,5.0,2024,7,6.47,1,0,8784.125,0,0.1111111111111111,213,-0.49566546630120856,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
8,51,178909,33,22,3,78,5.0,2019,9,-0.27,3,0,17890.9,5,8.25,66,-0.5701522914413177,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
9,32,51014,40,11,6,10,5.0,2023,15,0.17,3,0,3188.375,1,5.714285714285714,164,-0.5189063649780231,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
10,54,63726,21,19,1,25,5.0,2024,14,2.63,2,1,4248.4,0,10.5,158,-0.5876488457752369,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
11,52,64215,2,13,6,21,5.0,2021,10,7.43,3,0,5837.727272727273,3,0.2857142857142857,252,0.3266514216663376,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
12,55,76960,14,2,11,56,6.0,2017,14,6.87,5,0,5130.666666666667,7,1.1666666666666667,235,1.16600372939925,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
13,47,151391,8,20,12,7,5.0,2022,5,5.07,4,0,25231.833333333332,2,0.6153846153846154,83,0.407040703932482,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
14,50,170862,7,1,8,60,5.0,2022,13,8.43,4,0,12204.42857142857,2,0.7777777777777778,143,0.7983732332885496,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
15,26,161974,6,3,15,76,5.0,2024,7,8.3,3,0,20246.75,0,0.375,186,0.42797859444603376,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
16,43,164012,1,19,10,10,5.0,2020,5,6.63,3,0,27335.333333333332,4,0.09090909090909091,287,0.23347700991489284,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
17,41,70403,10,14,6,42,9.0,2019,11,5.67,3,0,5866.916666666667,5,1.4285714285714286,152,0.8979349241856038,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
