role,total_gaps,unique_employees,avg_gap_importance
Hr Manager,230,38,3.699913043478261
Hr Executive,242,39,3.5713223140495867
Helpdesk,248,42,3.57
Content Lead,221,38,3.5632126696832582
Account Manager,301,50,3.5538538205980066
Engineer,150,25,3.5446000000000004
Sales Executive,301,49,3.539700996677741
Accountant,236,39,3.536694915254237
Support Engineer,240,40,3.5256666666666665
Seo Analyst,207,34,3.47536231884058
Tester,183,30,3.4697814207650275
Auditor,237,38,3.1622362869198315
Developer,225,38,3.0944000000000003
