employee_id,role,top_skill_gap,priority,importance,all_gaps,recommended_tools
1,Auditor,Active Listening,Critical,3.5,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
2,Sales Executive,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
3,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
4,Hr Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
5,Account Manager,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
6,Helpdesk,Writing,Critical,4.0,Writing; Speaking; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
7,Engineer,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
8,Hr Executive,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
9,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
10,Accountant,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
11,Hr Executive,Critical Thinking,Critical,4.12,Critical Thinking; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
12,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
13,Accountant,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
14,Hr Manager,Active Listening,Critical,4.38,Active Listening; Writing; Critical Thinking,N/A (V2 requires sentence-transformers with valid GPU)
15,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Active Listening; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
16,Seo Analyst,Writing,Critical,4.0,Writing; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
17,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
18,Tester,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
19,Helpdesk,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
20,Support Engineer,Active Listening,Critical,4.12,Active Listening; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
21,Support Engineer,Writing,Critical,4.0,Writing; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
22,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
23,Tester,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
24,Tester,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
25,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
26,Seo Analyst,Speaking,Critical,3.88,Speaking; Monitoring; Mathematics,N/A (V2 requires sentence-transformers with valid GPU)
27,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
28,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
29,Accountant,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
30,Support Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
31,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Active Listening; Writing,N/A (V2 requires sentence-transformers with valid GPU)
32,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
33,Tester,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
34,Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
35,Seo Analyst,Critical Thinking,Critical,4.0,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
36,Auditor,Active Listening,Critical,3.5,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
37,Content Lead,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Critical Thinking,N/A (V2 requires sentence-transformers with valid GPU)
38,Accountant,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
39,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Writing; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
40,Auditor,Reading Comprehension,Critical,3.88,Reading Comprehension; Active Listening; Critical Thinking,N/A (V2 requires sentence-transformers with valid GPU)
41,Account Manager,Active Listening,Critical,4.12,Active Listening; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
42,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
43,Content Lead,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
44,Engineer,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
45,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
46,Developer,Active Listening,Critical,3.38,Active Listening; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
47,Account Manager,Writing,Critical,4.0,Writing; Monitoring; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
48,Sales Executive,Active Listening,Critical,4.12,Active Listening; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
49,Helpdesk,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
50,Tester,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
51,Sales Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
52,Support Engineer,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
53,Seo Analyst,Critical Thinking,Critical,4.0,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
54,Auditor,Writing,Critical,3.5,Writing; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
55,Accountant,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
56,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Writing; Active Learning,N/A (V2 requires sentence-transformers with valid GPU)
57,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Reading Comprehension; Active Listening,N/A (V2 requires sentence-transformers with valid GPU)
58,Helpdesk,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
59,Seo Analyst,Critical Thinking,Critical,4.0,Critical Thinking; Writing; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
60,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
61,Hr Manager,Active Listening,Critical,4.38,Active Listening; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
62,Tester,Critical Thinking,Critical,4.12,Critical Thinking; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
63,Hr Manager,Speaking,Critical,4.25,Speaking; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
64,Helpdesk,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
65,Account Manager,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
66,Content Lead,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
67,Sales Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Speaking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
68,Sales Executive,Reading Comprehension,Critical,4.12,Reading Comprehension; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
69,Account Manager,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
70,Accountant,Critical Thinking,Critical,4.12,Critical Thinking; Writing; Monitoring,N/A (V2 requires sentence-transformers with valid GPU)
71,Hr Executive,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
72,Content Lead,Active Listening,Critical,4.12,Active Listening; Critical Thinking; Reading Comprehension,N/A (V2 requires sentence-transformers with valid GPU)
73,Developer,Critical Thinking,Critical,3.88,Critical Thinking; Reading Comprehension; Writing,N/A (V2 requires sentence-transformers with valid GPU)
74,Sales Executive,Active Listening,Critical,4.12,Active Listening; Reading Comprehension; Critical Thinking,N/A (V2 requires sentence-transformers with valid GPU)
75,Developer,Reading Comprehension,Critical,3.5,Reading Comprehension; Writing; Speaking,N/A (V2 requires sentence-transformers with valid GPU)
76,Hr Manager,Active Listening,Critical,4.38,Active Listening; Speaking; Writing,N/A (V2 requires sentence-transformers with valid GPU)
